A	{I
ant	{nt
antagonise	{n`t{g@nAez
antagonistic	{nt{g@`nIstIk
antenna	{n`ten@
anthem	`{nT@m
anthropologist	{nTr\@`pOl@dZ@st
anti-	`{nti:
antibiotic	{nti:bAe`OtIk
anticipate	{n`tIs@p{It
anticlockwise	{nti:`klOkwAez
antics	`{ntIks
antidote	`{nti:d@}t
antihistamine	{nti:`hIst@mi:n
antipathy	{n`tIp@Ti:
antipodes	{n`tIp@di:z
antiquated	`{nt@kw{It@d
antique	{n`ti:k
antiseptic	{nt@`septIk
antithesis	{n`tIT@s@s
antler	`{ntl@
antonym	`{nt@nIm
anus	`{In@s
anxious	`{NS@s
any	`eni:
anybody	`eni:bOdi:
anyhow	`eni:h{O
anyone	`eni:w6n
anything	`eni:TIN
anyway	`eni:w{I
anywhere	`eni:we:
apart	@`p6:t
apartheid	@`p6:t{It
apartment	@`p6:tm@nt
apathy	`{p@Ti:
ape	{Ip
apex	`{Ipeks
apocalypse	@`pOk@lIps
apologise	@`pOl@dZAez
apology	@`pOl@dZi:
apostle	@`pOs@l
apostrophe	@`pOstr\@fi:
appal	@`po:l
apparatus	{p@`r\6:t@s
apparent	@`p{r\@nt
apparition	{p@`r\IS@n
appeal	@`pi:l
appear	@`pI@
appearance	@`pI@r\@ns
appease	@`pi:z
append	@`pend
appendicitis	@pend@`sAet@s
appendix	@`pendIks
appetising	`{p@tAezIN
appetite	`{p@tAet
applause	@`plo:z
apple	`{p@l
appliance	@`plAe@ns
applicable	@`plIk@b@l
applicant	`{pl@k@nt
apply	@`plAe
appoint	@`poInt
appointment	@`poIntm@nt
appreciate	@`pr\i:Si:{It
apprehend	{pr\@`hend
apprehension	{pr\@`henS@n
apprentice	@`pr\ent@s
approach	@`pr\@}tS
approachable	@`pr\@}tS@b@l
appropriate	@`pr\@}pr\i:@t
approval	@`pr\}:v@l
approve	@`pr\}:v
approximate	@`pr\Oks@m@t
apron	`{Ipr\@n
apt	{pt
aptitude	`{pt@tS}:d
aquarium	@`kwe:r\i:@m
arbitrary	`6:b@tr\@r\i:
arbitration	6:b@`tr\{IS@n
arc	6:k
arcade	6:`k{Id
arch	6:tS
archaeologist	6:ki:`Ol@dZ@st
archaic	6:`k{IIk
architect	`6:k@tekt
arduous	`6:dZ}:@s
are	6:
area	`e:r\i:@
arena	@`r\i:n@
arguable	`6:gj}:@b@l
argue	`6:gj}:
argument	`6:gj@m@nt
arise	@`r\Aez
aristocracy	{r\@`stOkr\@si:
arithmetic	@`r\ITm@tIk
ark	6:k
arm	6:m
armchair	`6:mtSe:
armed	6:md
armful	`6:mfUl
armhole	`6:mh@}l
armistice	`6:m@st@s
armour	`6:m@
armpit	`6:mpIt
army	`6:mi:
aroma	@`r\@}m@
around	@`r\{Ond
arousal	@`r\{Oz@l
arouse	@`r\{Oz
arrange	@`r\{IndZ
arrangement	@`r\{IndZm@nt
array	@`r\{I
arrest	@`r\est
arrival	@`r\Aev@l
arrive	@`r\Aev
arrogant	`{r\@g@nt
arrow	`{r\@}
arse	6:s
arsenal	`6:s@n@l
arsenic	`6:s@nIk
arson	`6:s@n
art	6:t
art union	`6:tj}:nj@n
artery	`6:t@r\i:
arthritis	6:`Tr\Aet@s
article	`6:tIk@l
artificial	6:t@`fIS@l
artist	`6:t@st
arvo	`6:v@}
as	{z
asbestos	@s`best@s
ascend	@`send
ascent	@`sent
ascertain	{s@`t{In
ash	{S
ashamed	@`S{Imd
aside	@`sAed
ask	6:sk
asleep	@`sli:p
asparagus	@`sp{r\@g@s
aspect	`{spekt
asphalt	`{Sfelt
aspire	@`spAe@
aspirin	`{spr\@n
ass	{s
assassin	@`s{s@n
assassinate	@`s{s@n{It
assault	@`sOlt
assemble	@`semb@l
assembly	@`sembli:
assent	@`sent
assert	@`s3:t
assertive	@`s3:tIv
assess	@`ses
asset	`{set
assign	@`sAen
assignment	@`sAenm@nt
assimilate	@`sIm@l{It
assist	@`sIst
associate	@`s@}Si:{It
association	@s@}si:`{IS@n
assortment	@`so:tm@nt
assume	@`sj}:m
assurance	@`So:r\@ns
assure	@`So:
asterisk	`{st@r\Isk
asthma	`{sm@
astonish	@`stOnIS
astound	@`st{Ond
astray	@`str\{I
astrology	@s`tr\Ol@dZi:
astronaut	`{str\@no:t
astronomy	@s`tr\On@mi:
astute	@s`tj}:t
asylum	@`sAel@m
at	{t
ate	{It
atheist	`{ITi:@st
athlete	`{Tli:t
atlas	`{tl@s
atmosphere	`{tm@sfI@
atom	`{t@m
atomic	@`tOmIk
atrocious	@`tr\@}S@s
attach	@`t{tS
attack	@`t{k
attain	@`t{In
attempt	@`tempt
attend	@`tend
attention	@`tenS@n
attic	`{tIk
attire	@`tAe@
attitude	`{t@tj}:d
attract	@`tr\{kt
attractive	@`tr\{ktIv
attribute	@`tr\Ibj}:t
atypical	{I`tIpIk@l
aubergine	`@}b@Zi:n
auburn	`o:b@n
auction	`OkS@n
audacious	o:`d{IS@s
audible	`o:d@b@l
audience	`o:di:@ns
audio	`o:di:@}
audit	`o:d@t
audition	o:`dIS@n
august	o:`g6st
aunt	6:nt
aura	`o:r\@
auspicious	o:`spIS@s
austere	Os`tI@
authentic	o:`TentIk
author	`o:T@
authorise	`o:T@r\Aez
authority	o:`TOr\@ti:
autobiography	o:t@bAe`Ogr\@fi:
autograph	`o:t@gr\{f
automatic	o:t@`m{tIk
automobile	`o:t@m@bi:l
autonomous	o:`tOn@m@s
autopsy	`o:tOpsi:
autumn	`o:t@m
auxiliary	Og`zIlj@r\i:
avail	@`v{Il
available	@`v{Il@b@l
avalanche	`{v@l{nS
avenge	@`vendZ
avenue	`{v@nj}:
average	`{vr\IdZ
averse	@`v3:s
aversion	@`v3:Z@n
avert	@`v3:t
aviation	{Ivi:`{IS@n
avid	`{v@d
avocado	{v@`k6:d@}
avoid	@`voId
await	@`w{It
awake	@`w{Ik
awaken	@`w{Ik@n
award	@`wo:d
aware	@`we:
away	@`w{I
awe	o:
awful	`o:f@l
awhile	@`wAel
awkward	`o:kw@d
awning	`o:nIN
axe	{ks
axis	`{ks@s
axle	`{ks@l
